app       , args                                                      , ranks, quartz , ruby   , lassen, borax , boraxo, corona-cpu, dane  , mammoth, matrix-cpu, matrix-gpu, tioga-cpu, tioga-gpu, tuolumne-cpu, tuolumne-gpu
kripke.exe, "--niter15--pmethodbj--groups8--legendre4--procs4,4,2"    , 32   , 1.0    , 1.5085 ,       ,       ,       ,           , 0.1306, 0.2015 ,           ,           ,          ,          ,             , 
kripke.exe, --niter15--pmethodsweep--groups16--legendre0              , 1    , 1.0    , 2.2856 , 0.4983,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, "--niter15--pmethodsweep--groups16--legendre0--procs4,4,2", 32   , 1.0    , 1.6129 ,       ,       ,       ,           , 0.1941, 0.1668 ,           ,           ,          ,          ,             , 
kripke.exe, --niter15--pmethodsweep--groups16--legendre1              , 1    , 1.0    , 2.0639 , 0.672 ,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, "--niter15--pmethodsweep--groups16--legendre1--procs4,4,2", 32   , 1.0    , 1.5233 ,       ,       ,       ,           , 0.2119, 0.1811 ,           ,           ,          ,          ,             , 
kripke.exe, --niter15--pmethodsweep--groups16--legendre2              , 1    , 1.0    , 2.1439 , 0.9292,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, "--niter15--pmethodsweep--groups16--legendre2--procs4,4,2", 32   , 1.0    , 1.4564 ,       ,       ,       ,           , 0.2581, 0.2276 ,           ,           ,          ,          ,             , 
kripke.exe, --niter15--pmethodsweep--groups16--legendre3              , 1    , 1.0    , 2.1731 , 1.355 ,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, "--niter15--pmethodsweep--groups16--legendre3--procs4,4,2", 32   , 1.0    , 1.3533 ,       ,       ,       ,           , 0.3203, 0.2765 ,           ,           ,          ,          ,             , 
kripke.exe, --niter15--pmethodsweep--groups16--legendre4              , 1    , 1.0    , 2.1181 , 2.1528,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, "--niter15--pmethodsweep--groups16--legendre4--procs4,4,2", 32   , 1.0    , 1.4766 ,       ,       ,       ,           , 0.3546, 0.3555 ,           ,           ,          ,          ,             , 
kripke.exe, --niter15--pmethodsweep--groups32--legendre0              , 1    , 1.0    , 2.2603 , 0.8889,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, "--niter15--pmethodsweep--groups32--legendre0--procs4,4,2", 32   , 1.0    , 1.4356 ,       ,       ,       ,           , 0.217 , 0.2495 ,           ,           ,          ,          ,             , 
kripke.exe, --niter15--pmethodsweep--groups32--legendre1              , 1    , 1.0    , 2.1091 , 1.1204,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, "--niter15--pmethodsweep--groups32--legendre1--procs4,4,2", 32   , 1.0    , 1.4134 ,       ,       ,       ,           , 0.3671, 0.3179 ,           ,           ,          ,          ,             , 
kripke.exe, --niter15--pmethodsweep--groups32--legendre2              , 1    , 1.0    , 2.1599 , 1.5342,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, "--niter15--pmethodsweep--groups32--legendre2--procs4,4,2", 32   , 1.0    , 1.4251 ,       ,       ,       ,           , 0.4622, 0.4034 ,           ,           ,          ,          ,             , 
kripke.exe, --niter15--pmethodsweep--groups32--legendre3              , 1    , 1.0    , 2.0845 , 1.9464,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 0.1621
kripke.exe, "--niter15--pmethodsweep--groups32--legendre3--procs4,4,2", 32   , 1.0    , 1.3511 ,       ,       ,       ,           , 0.5946, 0.5117 ,           ,           ,          ,          ,             , 
kripke.exe, --niter15--pmethodsweep--groups32--legendre4              , 1    , 1.0    , 2.0516 , 3.1976,       ,       , 0.1152    ,       ,        ,           ,           ,          ,          ,             , 0.2293
kripke.exe, "--niter15--pmethodsweep--groups32--legendre4--procs4,4,2", 32   , 1.0    , 1.3905 ,       ,       ,       ,           , 0.7799, 0.6681 ,           ,           ,          ,          ,             , 
kripke.exe, --niter15--pmethodsweep--groups8--legendre0               , 1    , 1.0    , 2.444  , 0.2744,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, "--niter15--pmethodsweep--groups8--legendre0--procs4,4,2" , 32   , 1.0    , 1.4581 ,       ,       ,       ,           , 0.109 ,        ,           ,           ,          ,          ,             , 
kripke.exe, --niter15--pmethodsweep--groups8--legendre1               , 1    , 1.0    , 2.1651 , 0.4271,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, "--niter15--pmethodsweep--groups8--legendre1--procs4,4,2" , 32   , 1.0    , 1.5382 ,       ,       ,       ,           , 0.1227, 0.1111 ,           ,           ,          ,          ,             , 
kripke.exe, --niter15--pmethodsweep--groups8--legendre2               , 1    , 1.0    , 2.1903 , 0.6549,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, "--niter15--pmethodsweep--groups8--legendre2--procs4,4,2" , 32   , 1.0    , 1.4768 ,       ,       ,       ,           , 0.1492, 0.1333 ,           ,           ,          ,          ,             , 
kripke.exe, --niter15--pmethodsweep--groups8--legendre3               , 1    , 1.0    , 2.0496 , 0.7084,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, "--niter15--pmethodsweep--groups8--legendre3--procs4,4,2" , 32   , 1.0    , 1.3964 ,       ,       ,       ,           , 0.1749, 0.1522 ,           ,           ,          ,          ,             , 
kripke.exe, --niter15--pmethodsweep--groups8--legendre4               , 1    , 1.0    , 2.0713 , 0.922 ,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, "--niter15--pmethodsweep--groups8--legendre4--procs4,4,2" , 32   , 1.0    , 1.4225 ,       ,       ,       ,           , 0.222 , 0.1746 ,           ,           ,          ,          ,             , 
kripke.exe, --niter40--pmethodsweep--groups16--legendre0              , 1    , 1.0    , 2.35   , 0.7676,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, "--niter40--pmethodsweep--groups16--legendre0--procs4,4,2", 32   , 1.0    , 1.6193 ,       ,       ,       ,           , 0.3609, 0.3205 ,           ,           ,          ,          ,             , 
kripke.exe, --niter40--pmethodsweep--groups16--legendre1              , 1    , 1.0    , 1.0862 , 1.0664,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, "--niter40--pmethodsweep--groups16--legendre1--procs4,4,2", 32   , 1.0    , 1.5966 ,       ,       ,       ,           , 0.4505, 0.3968 ,           ,           ,          ,          ,             , 
kripke.exe, --niter40--pmethodsweep--groups16--legendre2              , 1    , 1.0    , 2.1465 , 1.3825,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 0.1181
kripke.exe, "--niter40--pmethodsweep--groups16--legendre2--procs4,4,2", 32   , 1.0    , 1.7392 ,       ,       ,       ,           , 0.6484, 0.5465 ,           ,           ,          ,          ,             , 
kripke.exe, --niter40--pmethodsweep--groups16--legendre3              , 1    , 1.0    , 2.1346 , 1.7191,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 0.1477
kripke.exe, "--niter40--pmethodsweep--groups16--legendre3--procs4,4,2", 32   , 1.0    , 1.4902 ,       ,       ,       ,           , 0.6982, 0.5988 ,           ,           ,          ,          ,             , 
kripke.exe, --niter40--pmethodsweep--groups16--legendre4              , 1    , 1.0    , 2.1314 , 2.0529,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 0.2513
kripke.exe, "--niter40--pmethodsweep--groups16--legendre4--procs4,4,2", 32   , 1.0    , 2.3282 ,       ,       ,       ,           , 1.4118, 1.1244 ,           ,           ,          ,          ,             , 
kripke.exe, --niter40--pmethodsweep--groups32--legendre0              , 1    , 1.0    , 2.2197 , 1.0865,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 0.138
